P(topic 1),P(topic 2),P(topic 3)
0.065449506,0.86916995,0.06538056
0.49560234,0.41004863,0.09434907
0.06207904,0.87633526,0.06158573
0.09210328,0.8158022,0.09209452
0.0930406,0.8139794,0.092979975
0.114477485,0.7710449,0.11447753
0.10738934,0.7852177,0.1073929
0.05352861,0.89292276,0.053548638
0.06496087,0.87008077,0.064958274
0.052746538,0.89452314,0.05273031
0.08420773,0.8315855,0.08420677
0.065075785,0.8699041,0.06502012
0.32200447,0.57172334,0.10627217
0.0912643,0.81747437,0.0912613
0.04947625,0.9010786,0.049445156
0.059574004,0.8808595,0.059566535
0.050888035,0.8982663,0.050845686
0.06635354,0.86746734,0.066179104
0.05084386,0.89839303,0.050763067
0.051899876,0.8986436,0.04945648
0.051932383,0.89623845,0.0518292
0.06868553,0.86062306,0.07069144
0.10439911,0.7911871,0.10441379
0.05575776,0.88854766,0.05569456
0.056893587,0.8862032,0.056903116
0.09574214,0.80870074,0.09555707
0.081825495,0.8364672,0.08170736
0.09999864,0.80001587,0.09998548
0.09794701,0.80410457,0.0979484
0.10486311,0.7902715,0.10486541
0.055398468,0.889171,0.05543055
0.109075144,0.78192335,0.10900153
0.059635326,0.88077724,0.0595874
0.107569896,0.7848625,0.10756761
0.06339071,0.87324864,0.06336066
0.06038108,0.87923324,0.060385678
0.08786039,0.82428545,0.08785418
0.093889765,0.8121483,0.0939619
0.07104712,0.8579106,0.07104229
0.052537736,0.8949942,0.05246809
0.098794505,0.8023936,0.09881183
0.09797735,0.8040668,0.09795584
0.14669076,0.8001648,0.053144407
0.08391535,0.83217275,0.08391194
0.08362332,0.83275884,0.083617814
0.11182858,0.7763478,0.11182363
0.07928331,0.84143335,0.07928331
0.090575084,0.81885093,0.090574
0.14082271,0.7183555,0.1408218
0.08005551,0.83997476,0.07996963
0.054858856,0.88802475,0.05711632
0.0524057,0.89526105,0.052333288
0.053736076,0.8901637,0.056100182
0.09702554,0.80609226,0.09688213
0.060417105,0.8791722,0.060410704
0.0798414,0.84031767,0.079840906
0.05371123,0.89244,0.05384875
0.071018554,0.8579716,0.07100982
0.10116528,0.797677,0.101157725
0.053458832,0.89312404,0.05341708
0.0992631,0.80147463,0.09926224
